SiteCode,SiteName,Latitude,Longitude,County,SiteState,LatLongDatumSRSName,Elevation,SiteType

wq480,Lagan Laholm,56.515678,13.05157,,,WGS84,182
wq482,Nissan Halmstad,56.691484,12.873659,,,WGS84,177
wq484,Enningdalsälv N.Bullaren,58.877168,11.537395,,,WGS84,137
wq553,Ölman Hult,59.402593,13.960739,,,WGS84,123
wq554,Töre älv Infl.Bölträsket,65.937874,22.639551,,,WGS84,142
wq555,Alterälven Norrfjärden,65.41993,21.485938,,,WGS84,113
wq563,Lögde älv Lögdeå,63.552326,19.414716,,,WGS84,340
wq566,Skivarpsån Skivarp,55.449435,13.592905,,,WGS84,67
wq567,Tolångaån Tolånga,55.645616,13.816172,,,WGS84,114
wq568,Klingavälsån Vomb,55.661625,13.518321,,,WGS84,57
wq569,Ätran Falkenberg,56.903125,12.494643,,,WGS84,178
wq572,Klarälven Norra Råda,59.999919,13.592689,,,WGS84,300
wq586,Råån Helsingborg,55.999842,12.779089,,,WGS84,60
wq872,Bråtängsbäcken,58.689187,14.65379,,,WGS84,175
wq874,Lommabäcken Nedre,58.699925,14.639808,,,WGS84,190
wq880,Abiskojokk Röda Bron,68.35625,18.771847,,,WGS84,957
wq925,Stensån Malen,56.431981,12.873086,,,WGS84,106
wq926,Smedjeån V. Mellby,56.509643,12.974986,,,WGS84,69
wq927,Tönnersa,56.571441,12.97818,,,WGS84,89
wq928,Fyllebro,56.652138,12.908524,,,WGS84,139
wq929,Trönninge,56.625285,12.932262,,,WGS84,45
wq1155,Pipbäcken Nedre,57.066221,12.789717,,,WGS84,143
wq1159,Ringsmobäcken,58.993965,11.747781,,,WGS84,221
wq1167,Lilltjärnsbäcken,63.772418,12.444766,,,WGS84,460
wq1169,Laxtjärnsbäcken,65.785696,19.087667,,,WGS84,552
wq1170,Höjdabäcken,64.034405,16.923243,,,WGS84,539
wq1171,Muddusälven,66.765754,20.124686,,,WGS84,428
wq1174,Raurejukke,65.967529,15.957744,,,WGS84,817
wq1201,Liffedarve,57.48081,18.197039,,,WGS84,42
wq1202,Mesjön,64.724016,15.381114,,,WGS84,728
wq1203,Kukkasjärvi,66.113757,23.320041,,,WGS84,131
wq1204,Övre Lansjärv,66.638945,22.230949,,,WGS84,262
wq1205,Kringlan,59.693578,14.79243,,,WGS84,211
wq1206,Killingi,67.521028,20.272108,,,WGS84,792
wq1207,Kila,58.743917,16.548512,,,WGS84,78
wq1208,Alsterån Getebro,57.00891,16.16189,,,WGS84,179
wq1211,Ostvik,64.900649,21.069122,,,WGS84,103
wq1220,Västersel,63.433161,18.304227,,,WGS84,280
wq1245,Lill-Fämtan,60.842631,13.11954,,,WGS84,636
wq1256,Huskvarnaån Vättern,57.794535,14.265228,,,WGS84,272
wq1259,Knipån Kvarnkulla,57.941169,14.095994,,,WGS84,259
wq1260,Gagnån Kvarnliden,57.999664,14.125511,,,WGS84,256
wq1262,Svartberget,64.248761,19.777532,,,WGS84,279
wq1263,Gothemsån Hörsne,57.558428,18.599062,,,WGS84,41
wq1282,Stormyrbäcken,62.259427,16.267972,,,WGS84,442
wq1296,Tostarp,56.043382,13.22788,,,WGS84,134
wq1312,Laxbäcken,59.853564,15.454893,,,WGS84,279
wq1328,Vindbron,59.831627,17.661455,,,WGS84,40
wq1329,Lena Kyrka,60.011103,17.717766,,,WGS84,38
wq1331,Broby,59.898418,17.543301,,,WGS84,54
wq1332,Rosta Kvarn,59.94923,17.610392,,,WGS84,45
